,Age,Avg_BPM,Session_Duration (hours),Fat_Percentage,Water_Intake (liters),Calories_Burned
1,0.585817915898178,0.508901992497723,0.6433326291569675,1.6376333005380521,-0.6890903969440327,0.3107907891910733
2,-0.562599856789856,-1.504918408129539,-0.11719791125944715,1.5080687772357388,-0.344315041358809,-0.6857833416424497
3,-1.1368087431338731,1.4116490686409784,-2.198649916609636,0.31607516285445564,-0.6890903969440327,-1.3872554240252695
4,-0.07042081135212722,0.994996571959476,-1.998510300710579,0.41972678149630605,0.5176233476042515,-1.2711497000446648
6,-0.23448049316470349,1.7588594825422306,1.403863169573382,-1.6273926866802462,-0.344315041358809,2.739335515785387
7,0.09363887046044908,-0.18551883530478114,0.5232488596175334,0.7825074467427842,-1.0338657525292572,0.36884365118137563
8,-0.8907192204150086,-1.157707994228287,-0.4374212966979379,0.3419880675149178,0.17284799201902776,-0.4825983246763917
9,-0.8907192204150086,-0.5327292492060333,-0.23728168079888118,0.5492913047986194,0.34523566981164,-0.052039598248316166
11,1.160026802242195,0.5783440752779735,0.04291378145979734,-1.031395879489604,1.7243370921525365,0.22371149620561984
13,0.17566871136673723,-0.5327292492060333,0.16299755099923136,0.005120306928903542,2.069112447737761,-0.11976793723700221
14,-1.546957947665314,1.203322820300227,0.8434722450560243,-0.30583454899664947,1.379561736567312,1.8201652009389335
15,0.011609029554160932,-0.8799396631072853,-0.03714206489982535,-0.35766035831757464,-0.6890903969440327,-0.38100581619336266
16,-1.628987788571602,1.6199753169817297,0.7634163986964015,0.5752042094590825,-0.344315041358809,1.4137951670068172
17,0.17566871136673723,1.4810911514212288,0.2030254741790427,1.1193752073287984,-1.5510287859070933,0.31562852769026517
18,0.6678477568044662,0.16169157859647093,-0.03714206489982535,1.3525913492729622,0.00046031422641549136,-0.37133033919497893
19,1.3240864840547713,1.6199753169817297,0.9235280914156468,-0.6167894049222016,-0.5167027191514205,1.0219383485722766
20,-1.628987788571602,-1.157707994228287,1.4438910927531934,0.3419880675149178,2.069112447737761,1.1090176415577302
21,-0.07042081135212722,-0.11607675252453073,-0.07716998807963579,-0.4872248816198881,1.0347863809820883,0.27208888119753843
22,0.9139372795233306,1.203322820300227,0.12296962781942003,1.4303300632543514,0.00046031422641549136,0.1414699417193582
23,-0.8086893795087204,1.6894173997619801,-1.4381193761932207,0.134684830231217,1.5519494143599244,-0.47292284767800796
24,0.011609029554160932,0.3005757441569718,0.4431930132579108,-0.176270025694336,-1.0338657525292572,0.5139758061571315
